IMAX,JMAX,KMAX
37,9,2
I,J,K,X,Y,Z
7,2,1,0.701392,-0.474725,-0.009
8,2,1,0.830668,-0.521588,-0.01
9,2,1,0.97,-0.538,-0.011
10,2,1,1.10916,-0.52063,-0.012
11,2,1,1.23861,-0.474725,-0.013
12,2,1,1.35356,-0.406344,-0.015
13,2,1,1.45593,-0.328771,-0.016
14,2,1,1.54956,-0.250073,-0.017
15,2,1,1.64156,-0.180344,-0.018
16,2,1,1.73661,-0.123725,-0.02
17,2,1,1.83633,-0.0875879,-0.021
18,2,1,1.94,-0.075,-0.022
19,2,1,2.04367,-0.0875879,-0.023
20,2,1,2.14339,-0.123725,-0.024
21,2,1,2.23844,-0.180344,-0.026
22,2,1,2.33044,-0.250073,-0.027
23,2,1,2.42444,-0.329074,-0.028
24,2,1,2.52644,-0.406344,-0.029
25,2,1,2.64139,-0.474725,-0.031
26,2,1,2.77067,-0.521588,-0.032
27,2,1,2.91,-0.538,-0.033
28,2,1,3.04916,-0.52063,-0.034
29,2,1,3.17861,-0.474725,-0.035
30,2,1,3.29356,-0.406344,-0.037
31,2,1,3.39593,-0.328771,-0.038
32,2,1,3.48956,-0.250073,-0.039
33,2,1,3.58156,-0.180344,-0.04
34,2,1,3.67661,-0.123725,-0.042
35,2,1,3.77633,-0.0875879,-0.043
36,2,1,3.88,-0.075,-0.044
0,3,1,0,-0.0375,0
1,3,1,0.112556,-0.0511566,-0.001
2,3,1,0.21966,-0.0899378,-0.002
3,3,1,0.319696,-0.149453,-0.004
4,3,1,0.4142,-0.221061,-0.005
5,3,1,0.5082,-0.300061,-0.006
6,3,1,0.607696,-0.375453,-0.007
7,3,1,0.71766,-0.440938,-0.009
8,3,1,0.839556,-0.485157,-0.01
9,3,1,0.97,-0.5005,-0.011
10,3,1,1.1003,-0.484192,-0.012
11,3,1,1.22234,-0.440938,-0.013
12,3,1,1.3323,-0.375453,-0.015
13,3,1,1.43211,-0.299809,-0.016
14,3,1,1.5258,-0.221061,-0.017
15,3,1,1.6203,-0.149453,-0.018
16,3,1,1.72034,-0.0899378,-0.02
17,3,1,1.82744,-0.0511566,-0.021
18,3,1,1.94,-0.0375,-0.022
19,3,1,2.05256,-0.0511566,-0.023
20,3,1,2.15966,-0.0899378,-0.024
21,3,1,2.2597,-0.149453,-0.026
22,3,1,2.3542,-0.221061,-0.027
23,3,1,2.4482,-0.300061,-0.028
24,3,1,2.5477,-0.375453,-0.029
25,3,1,2.65766,-0.440938,-0.031
26,3,1,2.77956,-0.485157,-0.032
27,3,1,2.91,-0.5005,-0.033
28,3,1,3.0403,-0.484192,-0.034
29,3,1,3.16234,-0.440938,-0.035
30,3,1,3.2723,-0.375453,-0.037
31,3,1,3.37211,-0.299809,-0.038
32,3,1,3.4658,-0.221061,-0.039
33,3,1,3.5603,-0.149453,-0.04
34,3,1,3.66034,-0.0899378,-0.042
35,3,1,3.76744,-0.0511566,-0.043
36,3,1,3.88,-0.0375,-0.044
0,4,1,0,-2.98023e-009,0
1,4,1,0.121445,-0.0147252,-0.001
2,4,1,0.235928,-0.0561503,-0.002
3,4,1,0.340957,-0.118562,-0.004
4,4,1,0.43796,-0.192049,-0.005
5,4,1,0.53196,-0.271049,-0.006
6,4,1,0.628957,-0.344563,-0.007
7,4,1,0.733928,-0.40715,-0.009
8,4,1,0.848445,-0.448725,-0.01
9,4,1,0.97,-0.463,-0.011
10,4,1,1.09144,-0.447753,-0.012
11,4,1,1.20607,-0.40715,-0.013
12,4,1,1.31104,-0.344562,-0.015
13,4,1,1.40829,-0.270847,-0.016
14,4,1,1.50204,-0.192049,-0.017
15,4,1,1.59904,-0.118562,-0.018
16,4,1,1.70407,-0.0561503,-0.02
17,4,1,1.81855,-0.0147252,-0.021
18,4,1,1.94,-2.98023e-009,-0.022
19,4,1,2.06144,-0.0147253,-0.023
20,4,1,2.17593,-0.0561503,-0.024
21,4,1,2.28096,-0.118563,-0.026
22,4,1,2.37796,-0.192049,-0.027
23,4,1,2.47196,-0.271049,-0.028
24,4,1,2.56896,-0.344562,-0.029
25,4,1,2.67393,-0.40715,-0.031
26,4,1,2.78844,-0.448725,-0.032
27,4,1,2.91,-0.463,-0.033
28,4,1,3.03144,-0.447753,-0.034
29,4,1,3.14607,-0.40715,-0.035
30,4,1,3.25104,-0.344562,-0.037
31,4,1,3.34829,-0.270847,-0.038
32,4,1,3.44204,-0.192049,-0.039
33,4,1,3.53904,-0.118562,-0.04
34,4,1,3.64407,-0.0561502,-0.042
35,4,1,3.75855,-0.0147253,-0.043
36,4,1,3.88,-2.98023e-009,-0.044
0,5,1,0,0.0375,0
1,5,1,0.130334,0.0217061,-0.001
2,5,1,0.252196,-0.0223627,-0.002
3,5,1,0.362218,-0.0876719,-0.004
4,5,1,0.46172,-0.163037,-0.005
5,5,1,0.55572,-0.242037,-0.006
6,5,1,0.650218,-0.313672,-0.007
7,5,1,0.750196,-0.373363,-0.009
8,5,1,0.857334,-0.412294,-0.01
9,5,1,0.97,-0.4255,-0.011
10,5,1,1.08258,-0.411315,-0.012
11,5,1,1.1898,-0.373363,-0.013
12,5,1,1.28978,-0.313672,-0.015
13,5,1,1.38446,-0.241886,-0.016
14,5,1,1.47828,-0.163037,-0.017
15,5,1,1.57778,-0.0876719,-0.018
16,5,1,1.6878,-0.0223627,-0.02
17,5,1,1.80967,0.0217061,-0.021
18,5,1,1.94,0.0375,-0.022
19,5,1,2.07033,0.0217061,-0.023
20,5,1,2.1922,-0.0223627,-0.024
21,5,1,2.30222,-0.0876719,-0.026
22,5,1,2.40172,-0.163037,-0.027
23,5,1,2.49572,-0.242037,-0.028
24,5,1,2.59022,-0.313672,-0.029
25,5,1,2.6902,-0.373363,-0.031
26,5,1,2.79733,-0.412294,-0.032
27,5,1,2.91,-0.4255,-0.033
28,5,1,3.02258,-0.411315,-0.034
29,5,1,3.1298,-0.373363,-0.035
30,5,1,3.22978,-0.313672,-0.037
31,5,1,3.32446,-0.241886,-0.038
32,5,1,3.41828,-0.163037,-0.039
33,5,1,3.51778,-0.0876719,-0.04
34,5,1,3.6278,-0.0223627,-0.042
35,5,1,3.74967,0.0217061,-0.043
36,5,1,3.88,0.0375,-0.044
0,6,1,0,0.075,0
1,6,1,0.139223,0.0581374,-0.001
2,6,1,0.268464,0.0114249,-0.002
3,6,1,0.383478,-0.0567812,-0.004
4,6,1,0.48548,-0.134025,-0.005
5,6,1,0.57948,-0.213025,-0.006
6,6,1,0.671478,-0.282781,-0.007
7,6,1,0.766464,-0.339575,-0.009
8,6,1,0.866223,-0.375863,-0.01
9,6,1,0.97,-0.388,-0.011
