     X                     1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18
           57  0.2925716E+04  0.2905676E+04  0.2885906E+04  0.2866302E+04  0.2846854E+04  0.2822163E+04  0.2798468E+04  0.2775636E+04  0.2753551E+04  0.2732111E+04  0.2711226E+04  0.2690820E+04  0.2670828E+04  0.2651209E+04  0.2617988E+04  0.2585672E+04  0.2553640E+04  0.2521437E+04
           58  0.2965747E+04  0.2945567E+04  0.2925301E+04  0.2904859E+04  0.2884255E+04  0.2859728E+04  0.2836137E+04  0.2813351E+04  0.2791262E+04  0.2769778E+04  0.2748823E+04  0.2728342E+04  0.2708313E+04  0.2688786E+04  0.2655809E+04  0.2623676E+04  0.2591882E+04  0.2560048E+04
           59  0.3004125E+04  0.2983991E+04  0.2963367E+04  0.2942147E+04  0.2920307E+04  0.2896166E+04  0.2872836E+04  0.2850224E+04  0.2828240E+04  0.2806802E+04  0.2785840E+04  0.2765303E+04  0.2745166E+04  0.2725435E+04  0.2692832E+04  0.2661053E+04  0.2629648E+04  0.2598297E+04
           60  0.3041061E+04  0.3021203E+04  0.3000365E+04  0.2978424E+04  0.2955318E+04  0.2931643E+04  0.2908681E+04  0.2886350E+04  0.2864567E+04  0.2843254E+04  0.2822343E+04  0.2801779E+04  0.2781519E+04  0.2761524E+04  0.2729502E+04  0.2698233E+04  0.2667350E+04  0.2636580E+04
           61  0.3076592E+04  0.3057291E+04  0.3036381E+04  0.3013796E+04  0.2989405E+04  0.2966284E+04  0.2943789E+04  0.2921835E+04  0.2900341E+04  0.2879230E+04  0.2858433E+04  0.2837891E+04  0.2817556E+04  0.2797386E+04  0.2766107E+04  0.2735505E+04  0.2705271E+04  0.2675177E+04
           62  0.3111255E+04  0.3092419E+04  0.3071514E+04  0.3048393E+04  0.3022681E+04  0.3000207E+04  0.2978272E+04  0.2956789E+04  0.2935673E+04  0.2914842E+04  0.2894225E+04  0.2873761E+04  0.2853396E+04  0.2833082E+04  0.2802780E+04  0.2773030E+04  0.2743588E+04  0.2714273E+04
           63  0.3146371E+04  0.3126812E+04  0.3105856E+04  0.3082360E+04  0.3055228E+04  0.3033522E+04  0.3012243E+04  0.2991329E+04  0.2970681E+04  0.2950211E+04  0.2929843E+04  0.2909516E+04  0.2889177E+04  0.2868782E+04  0.2839604E+04  0.2810820E+04  0.2782260E+04  0.2753787E+04
           64  0.3174364E+04  0.3156958E+04  0.3136856E+04  0.3113892E+04  0.3087665E+04  0.3066364E+04  0.3045808E+04  0.3025573E+04  0.3005492E+04  0.2985465E+04  0.2965417E+04  0.2945284E+04  0.2925020E+04  0.2904593E+04  0.2876643E+04  0.2848922E+04  0.2821323E+04  0.2793746E+04
           65  0.3201903E+04  0.3185675E+04  0.3166280E+04  0.3143710E+04  0.3117582E+04  0.3098405E+04  0.3079027E+04  0.3059648E+04  0.3040243E+04  0.3020743E+04  0.3001082E+04  0.2981199E+04  0.2961044E+04  0.2940567E+04  0.2913932E+04  0.2887349E+04  0.2860777E+04  0.2834141E+04
           66  0.3234533E+04  0.3218144E+04  0.3199329E+04  0.3176972E+04  0.3149068E+04  0.3130656E+04  0.3112246E+04  0.3093753E+04  0.3075095E+04  0.3056195E+04  0.3036985E+04  0.3017407E+04  0.2997418E+04  0.2976975E+04  0.2951674E+04  0.2926292E+04  0.2900806E+04  0.2875157E+04
